Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
SULAWESI SELATAN,96.87,89.93,93.25,2025
SULAWESI TENGAH,38.3,34.07,35.1,2010
SULAWESI TENGAH,80.01,43.78,52.41,2011
SULAWESI TENGAH,80.82,48.8,56.36,2012
SULAWESI TENGAH,82.28,53.16,60.21,2013
SULAWESI TENGAH,81.85,51.89,58.99,2014
SULAWESI TENGAH,82.37,54.89,61.49,2015
SULAWESI TENGAH,86.18,54,62.15,2016
SULAWESI TENGAH,87.81,59.9,67.1,2017
SULAWESI TENGAH,85.6,65.4,71.13,2018
SULAWESI TENGAH,95.06,78.54,83.42,2019
SULAWESI TENGAH,97.01,79.49,84.6,2020
SULAWESI TENGAH,95.8,85.2,88.51,2021
SULAWESI TENGAH,95.68,82.52,86.74,2022
SULAWESI TENGAH,93.67,83.48,86.85,2023
SULAWESI TENGAH,94.61,84.47,87.86,2024
SULAWESI TENGAH,93.16,84.69,87.55,2025
SULAWESI TENGGARA,51.34,50.5,50.74,2010
SULAWESI TENGGARA,83.19,56.79,63.9,2011
SULAWESI TENGGARA,81.14,57.47,63.94,2012
SULAWESI TENGGARA,86.74,62.76,69.43,2013
SULAWESI TENGGARA,83.48,63.03,68.74,2014
SULAWESI TENGGARA,88.13,72.76,77.19,2015
SULAWESI TENGGARA,85.13,71.78,75.82,2016
SULAWESI TENGGARA,89.43,75.26,79.83,2017
SULAWESI TENGGARA,91.54,74.44,80.95,2018
SULAWESI TENGGARA,96.41,85.49,89.66,2019
SULAWESI TENGGARA,96.89,89.7,92.49,2020
SULAWESI TENGGARA,97.16,89.03,91.94,2021
SULAWESI TENGGARA,95.55,94.11,94.64,2022
SULAWESI TENGGARA,96.28,93.88,94.8,2023
SULAWESI TENGGARA,97.05,94.17,95.31,2024
SULAWESI TENGGARA,98.2,92.8,94.91,2025
SULAWESI UTARA,44.74,44.13,44.41,2010
SULAWESI UTARA,80.89,50.53,64.32,2011
SULAWESI UTARA,81.53,50.89,64.93,2012
SULAWESI UTARA,84.41,58.19,70.06,2013
SULAWESI UTARA,85.82,55.32,69.32,2014
SULAWESI UTARA,79.43,64.79,71.53,2015
SULAWESI UTARA,83.53,58.52,70.22,2016
SULAWESI UTARA,84.93,62.7,73.29,2017
SULAWESI UTARA,84.61,67.74,76.2,2018
SULAWESI UTARA,93.61,87.75,90.81,2019
SULAWESI UTARA,94.56,85.5,90.31,2020
SULAWESI UTARA,94.66,88.13,91.65,2021
SULAWESI UTARA,95.64,92.3,94.15,2022
SULAWESI UTARA,95.46,92.99,94.37,2023
SULAWESI UTARA,96.4,92,94.46,2024
SULAWESI UTARA,96.29,92.98,94.86,2025
SUMATERA BARAT,47.94,38.17,41.92,2010
SUMATERA BARAT,76.37,45.79,57.54,2011
